|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47810.000|     1|   239050.00|平昨              |     12.10|      350.00|                 0.00|000001343861|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47810.000|     1|   239050.00|平昨              |     12.10|      350.00|                 0.00|000001344251|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47800.000|     1|   239000.00|平昨              |     12.09|      300.00|                 0.00|000001370084|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47800.000|     2|   478000.00|平昨              |     24.19|      600.00|                 0.00|000001673878|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47800.000|     5|  1195000.00|平昨              |     60.47|     1500.00|                 0.00|000001673964|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47810.000|     1|   239050.00|平昨              |     12.10|      350.00|                 0.00|000001681408|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47760.000|     1|   238800.00|平昨              |     12.08|      100.00|                 0.00|000001972699|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47760.000|     1|   238800.00|平昨              |     12.08|      100.00|                 0.00|000001973423|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47720.000|     4|   954400.00|平昨              |     48.29|     -400.00|                 0.00|000002018521|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47720.000|     1|   238600.00|平昨              |     12.07|     -100.00|                 0.00|000002018522|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47720.000|     5|  1193000.00|平昨              |     60.37|     -500.00|                 0.00|000002026444|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47710.000|     4|   954200.00|平昨              |     48.28|     -600.00|                 0.00|000002032315|
|20190521|上期所  |铜                |     cu1907     |   卖|投机        | 47710.000|     1|   238550.00|平昨              |     12.07|     -150.00|                 0.00|000002032316|
|20190521|上期所  |铜期权            |  cu1907C49000  |   卖|投机        |   266.000|     1|     1330.00|开                |      5.25|        0.00|              1330.00|000001640955|
|20190521|上期所  |铜期权            |  cu1907C49000  |   卖|投机        |   267.000|     1|     1335.00|开                |      5.25|        0.00|              1335.00|000001643651|
|20190521|上期所  |铜期权            |  cu1907C49000  |   卖|投机        |   268.000|     1|     1340.00|开                |      5.25|        0.00|              1340.00|000001674000|
|20190521|上期所  |铜期权            |  cu1907C49000  |   卖|投机        |   269.000|     1|     1345.00|开                |      5.25|        0.00|              1345.00|000001680001|
|20190521|上期所  |铜期权            |  cu1907C49000  |   卖|投机        |   270.000|     2|     2700.00|开                |     10.50|        0.00|              2700.00|000001713726|
|20190521|上期所  |铜期权            |  cu1907C50000  |   卖|投机        |   110.000|     1|      550.00|开                |      5.25|        0.00|               550.00|000001618835|
|20190521|上期所  |铜期权            |  cu1907C50000  |   卖|投机        |   110.000|     1|      550.00|开                |      5.25|        0.00|               550.00|000001618836|
|20190521|上期所  |铜期权            |  cu1907C50000  |   卖|投机        |   111.000|     2|     1110.00|开                |     10.50|        0.00|              1110.00|000001624100|
|20190521|上期所  |铜期权            |  cu1907C50000  |   卖|投机        |   112.000|     2|     1120.00|开                |     10.50|        0.00|              1120.00|000001674079|
|20190521|郑商所  |菜籽粕            |     RM909      |买   |投机        |  2389.000|    10|   238900.00|  平              |     15.14|    -4100.00|                 0.00|052101112794|
|20190521|郑商所  |菜籽粕            |     RM909      |买   |投机        |  2417.000|     2|    48340.00|  平              |      3.03|    -1380.00|                 0.00|052103192488|
|20190521|郑商所  |菜籽粕            |     RM909      |买   |投机        |  2417.000|     7|   169190.00|  平              |     10.60|    -4830.00|                 0.00|052103192489|
|20190521|郑商所  |菜籽粕            |     RM909      |买   |投机        |  2417.000|     1|    24170.00|  平              |      1.51|     -690.00|                 0.00|052103192492|
