|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190927  |大商所  |豆粕期权          |m2001-P-2550    |20190925 |买   |         5|          3.000|           6.000|       3.500|        0.00|              -175.000|
|20190927  |大商所  |豆粕期权          |m2001-P-2550    |20190925 |买   |         1|          3.000|           6.000|       3.500|        0.00|               -35.000|
|20190927  |大商所  |铁矿石            |i2001           |20190920 |买   |         8|        634.000|         632.500|     642.500|    -8000.00|                 0.000|
|20190927  |大商所  |铁矿石            |i2001           |20190920 |买   |         3|        635.000|         632.500|     642.500|    -3000.00|                 0.000|
|20190927  |大商所  |铁矿石            |i2001           |20190924 |买   |         9|        631.000|         632.500|     642.500|    -9000.00|                 0.000|
|20190927  |大商所  |铁矿石            |i2001           |20190924 |买   |         3|        622.500|         632.500|     642.500|    -3000.00|                 0.000|
|20190927  |大商所  |铁矿石            |i2001           |20190924 |买   |        56|        631.000|         632.500|     642.500|   -56000.00|                 0.000|
|20190927  |大商所  |铁矿石            |i2001           |20190924 |买   |        21|        622.500|         632.500|     642.500|   -21000.00|                 0.000|
|20190927  |上期所  |白银              |ag1912          |20190927 |   卖|         1|       4405.000|        4495.000|    4411.000|       90.00|                 0.000|
|20190927  |上期所  |白银              |ag1912          |20190927 |买   |         1|       4415.000|        4495.000|    4310.000|     1575.00|                 0.000|
|20190927  |上期所  |白银              |ag1912          |20190927 |买   |         1|       4315.000|        4495.000|    4310.000|       75.00|                 0.000|
|20190927  |上期所  |白银              |ag1912          |20190927 |买   |         4|       4315.000|        4495.000|    4310.000|      300.00|                 0.000|
|20190927  |上期所  |白银              |ag1912          |20190927 |买   |         2|       4315.000|        4495.000|    4308.000|      210.00|                 0.000|
|20190927  |上期所  |白银              |ag1912          |20190927 |买   |         2|       4315.000|        4495.000|    4308.000|      210.00|                 0.000|
|20190927  |上期所  |白银              |ag1912          |20190927 |   卖|         1|       4405.000|        4495.000|    4310.000|    -1425.00|                 0.000|
|20190927  |上期所  |白银              |ag1912          |20190927 |   卖|         1|       4403.000|        4495.000|    4326.000|    -1155.00|                 0.000|
|20190927  |上期所  |天然橡胶          |ru2001          |20190927 |   卖|         2|      11435.000|       11730.000|   11430.000|     -100.00|                 0.000|
|20190927  |上期所  |天然橡胶          |ru2001          |20190927 |   卖|         2|      11435.000|       11730.000|   11425.000|     -200.00|                 0.000|
