|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     4|   256000.00|开                |     25.75|        0.00|                 0.00|30651367    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     5|   320000.00|开                |     32.19|        0.00|                 0.00|30651368    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     1|    64000.00|开                |      6.44|        0.00|                 0.00|30651369    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     1|    64000.00|开                |      6.44|        0.00|                 0.00|30651370    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     2|   128000.00|开                |     12.88|        0.00|                 0.00|30651371    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     5|   320000.00|开                |     32.19|        0.00|                 0.00|30651372    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     1|    64000.00|开                |      6.44|        0.00|                 0.00|30651373    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     2|   128000.00|开                |     12.88|        0.00|                 0.00|30651374    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     1|    64000.00|开                |      6.44|        0.00|                 0.00|30651375    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     3|   192000.00|开                |     19.32|        0.00|                 0.00|30651376    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     1|    64000.00|开                |      6.44|        0.00|                 0.00|30651377    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   640.000|     1|    64000.00|开                |      6.44|        0.00|                 0.00|30651378    |
|20191009|大商所  |铁矿石            |     i2001      |   卖|投机        |   638.000|     5|   319000.00|开                |     32.09|        0.00|                 0.00|30683803    |
|20191009|大商所  |线型低密度聚乙烯  |     l2001      |买   |投机        |  7405.000|     5|   185125.00|  平              |     10.11|        0.00|                 0.00|30530629    |
|20191009|大商所  |线型低密度聚乙烯  |     l2001      |买   |投机        |  7410.000|     5|   185250.00|  平              |     10.11|     -125.00|                 0.00|30537795    |
|20191009|大商所  |冶金焦炭          |     j2001      |买   |投机        |  1879.500|     5|   939750.00|  平              |     56.95|    -2500.00|                 0.00|30013288    |
|20191009|大商所  |冶金焦炭          |     j2005      |   卖|投机        |  1824.500|     5|   912250.00|  平              |     55.28|     3000.00|                 0.00|30013289    |
|20191009|能源中心|20号胶            |     nr2002     |买   |一般        |  9770.000|     1|    97700.00|开                |     10.06|        0.00|                 0.00|000001350867|
