|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7575.000|    34|  1287750.00|开                |     68.77|        0.00|                 0.00|30951957    |
|20190603|上期所  |白银              |     ag1912     |买   |投机        |  3572.000|     1|    53580.00|开                |      2.71|        0.00|                 0.00|000000336581|
|20190603|上期所  |白银              |     ag1912     |买   |投机        |  3586.000|     1|    53790.00|开                |      2.72|        0.00|                 0.00|000001945439|
|20190603|上期所  |白银              |     ag1912     |买   |投机        |  3587.000|     1|    53805.00|开                |      2.72|        0.00|                 0.00|000002031435|
|20190603|上期所  |白银              |     ag1912     |买   |投机        |  3586.000|     1|    53790.00|开                |      2.72|        0.00|                 0.00|000002037551|
|20190603|上期所  |螺纹钢            |     rb1910     |买   |投机        |  3746.000|     3|   112380.00|开                |     11.31|        0.00|                 0.00|000000067571|
|20190603|上期所  |螺纹钢            |     rb1910     |买   |投机        |  3746.000|     1|    37460.00|开                |      3.77|        0.00|                 0.00|000000067572|
|20190603|上期所  |螺纹钢            |     rb1910     |买   |投机        |  3746.000|    16|   599360.00|开                |     60.30|        0.00|                 0.00|000000067573|
|20190603|上期所  |螺纹钢            |     rb1910     |买   |投机        |  3728.000|     1|    37280.00|开                |      3.75|        0.00|                 0.00|000001595343|
|20190603|上期所  |螺纹钢            |     rb1910     |买   |投机        |  3723.000|     1|    37230.00|开                |      3.75|        0.00|                 0.00|000001623527|
|20190603|上期所  |螺纹钢            |     rb1910     |买   |投机        |  3714.000|     1|    37140.00|开                |      3.74|        0.00|                 0.00|000001855343|
