|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7705.000|     5|   192625.00|  平              |     10.12|    -1000.00|                 0.00|31137180    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7710.000|     1|    38550.00|  平              |      2.02|     -175.00|                 0.00|31140916    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7710.000|     1|    38550.00|  平              |      2.02|     -175.00|                 0.00|31141114    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7710.000|     1|    38550.00|  平              |      2.02|     -225.00|                 0.00|31141140    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7710.000|     1|    38550.00|  平              |      2.02|     -225.00|                 0.00|31141278    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7710.000|     1|    38550.00|  平              |      2.02|     -225.00|                 0.00|31141399    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7715.000|     1|    38575.00|  平              |      2.02|     -200.00|                 0.00|31145334    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7715.000|     1|    38575.00|  平              |      2.02|     -200.00|                 0.00|31145672    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7715.000|     1|    38575.00|  平              |      2.02|     -200.00|                 0.00|31145836    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7715.000|     1|    38575.00|  平              |      2.02|     -200.00|                 0.00|31146060    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7715.000|     1|    38575.00|  平              |      2.02|     -200.00|                 0.00|31146078    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7715.000|     6|   231450.00|开                |     12.14|        0.00|                 0.00|31151950    |
|20190730|大商所  |乙二醇            |     eg1909     |买   |投机        |  4650.000|     1|    46500.00|  平              |      4.03|    -1100.00|                 0.00|30339907    |
|20190730|大商所  |乙二醇            |     eg1909     |买   |投机        |  4650.000|     1|    46500.00|  平              |      4.03|    -1100.00|                 0.00|30339925    |
|20190730|大商所  |乙二醇            |     eg1909     |买   |投机        |  4680.000|     3|   140400.00|  平              |     12.08|    -4200.00|                 0.00|30412761    |
|20190730|大商所  |乙二醇            |     eg1909     |   卖|投机        |  4702.000|     3|   141060.00|开                |     12.08|        0.00|                 0.00|30442648    |
|20190730|大商所  |乙二醇            |     eg1909     |买   |投机        |  4633.000|     1|    46330.00|  平              |      0.03|     -930.00|                 0.00|30774399    |
|20190730|大商所  |乙二醇            |     eg2001     |买   |投机        |  4500.000|     3|   135000.00|开                |     12.08|        0.00|                 0.00|30340895    |
|20190730|大商所  |乙二醇            |     eg2001     |买   |投机        |  4500.000|     2|    90000.00|开                |      8.05|        0.00|                 0.00|30340896    |
|20190730|大商所  |乙二醇            |     eg2001     |   卖|投机        |  4504.000|     1|    45040.00|  平              |      0.03|      460.00|                 0.00|30347043    |
|20190730|大商所  |乙二醇            |     eg2001     |   卖|投机        |  4504.000|     1|    45040.00|  平              |      0.03|      460.00|                 0.00|30347249    |
|20190730|大商所  |乙二醇            |     eg2001     |   卖|投机        |  4463.000|     1|    44630.00|  平              |      0.03|       50.00|                 0.00|30774398    |
|20190730|上期所  |螺纹钢            |     rb2001     |   卖|投机        |  3642.000|    10|   364200.00|开                |     36.64|        0.00|                 0.00|000000052345|
|20190730|上期所  |螺纹钢            |     rb2001     |   卖|投机        |  3642.000|     2|    72840.00|开                |      7.33|        0.00|                 0.00|000000052348|
|20190730|上期所  |螺纹钢            |     rb2001     |   卖|投机        |  3642.000|    28|  1019760.00|开                |    102.59|        0.00|                 0.00|000000052355|
|20190730|上期所  |螺纹钢            |     rb2001     |买   |投机        |  3683.000|    12|   441960.00|平昨              |     44.46|    -1440.00|                 0.00|000001531012|
|20190730|上期所  |螺纹钢            |     rb2001     |   卖|投机        |  3659.000|     1|    36590.00|开                |      3.68|        0.00|                 0.00|000001992568|
|20190730|上期所  |螺纹钢            |     rb2001     |   卖|投机        |  3659.000|     3|   109770.00|开                |     11.04|        0.00|                 0.00|000001992674|
|20190730|上期所  |螺纹钢            |     rb2001     |   卖|投机        |  3659.000|     1|    36590.00|开                |      3.68|        0.00|                 0.00|000001992901|
|20190730|上期所  |螺纹钢            |     rb2001     |   卖|投机        |  3659.000|     1|    36590.00|开                |      3.68|        0.00|                 0.00|000001992921|
|20190730|上期所  |螺纹钢            |     rb2001     |   卖|投机        |  3653.000|     3|   109590.00|开                |     11.02|        0.00|                 0.00|000002043796|
|20190730|上期所  |螺纹钢            |     rb2001     |   卖|投机        |  3653.000|     2|    73060.00|开                |      7.35|        0.00|                 0.00|000002043800|
|20190730|上期所  |镍                |     ni1910     |买   |投机        |111030.000|     1|   111030.00|平昨              |      6.07|     -730.00|                 0.00|000000599380|
|20190730|上期所  |燃料油            |     fu2001     |   卖|投机        |  2431.000|     1|    24310.00|平昨              |      1.23|       10.00|                 0.00|000000887690|
|20190730|上期所  |燃料油            |     fu2001     |   卖|投机        |  2431.000|     1|    24310.00|平昨              |      1.23|       10.00|                 0.00|000000887691|
|20190730|上期所  |燃料油            |     fu2001     |   卖|投机        |  2431.000|     1|    24310.00|平昨              |      1.23|       10.00|                 0.00|000000887692|
|20190730|上期所  |燃料油            |     fu2001     |   卖|投机        |  2430.000|    17|   413100.00|平昨              |     20.90|        0.00|                 0.00|000000887693|
|20190730|上期所  |热轧卷板          |     hc2001     |买   |投机        |  3628.000|     5|   181400.00|开                |     18.25|        0.00|                 0.00|000001942147|
|20190730|上期所  |热轧卷板          |     hc2001     |买   |投机        |  3628.000|     3|   108840.00|开                |     10.95|        0.00|                 0.00|000001961600|
|20190730|上期所  |热轧卷板          |     hc2001     |买   |投机        |  3628.000|    10|   362800.00|开                |     36.50|        0.00|                 0.00|000001962005|
|20190730|上期所  |热轧卷板          |     hc2001     |买   |投机        |  3628.000|     2|    72560.00|开                |      7.30|        0.00|                 0.00|000001962058|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000001942707|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000001942708|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000001942709|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000001942710|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|    12|   418680.00|开                |     42.12|        0.00|                 0.00|000001942711|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     4|   139560.00|开                |     14.04|        0.00|                 0.00|000001942715|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     2|    69780.00|开                |      7.02|        0.00|                 0.00|000001960631|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     2|    69780.00|开                |      7.02|        0.00|                 0.00|000001960632|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000001960653|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000001961096|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000001961471|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000001963705|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000001963729|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000001964350|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000001968110|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000001968114|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000001968160|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000001968307|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000001969481|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000001972788|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000002009254|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000002010342|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000002011088|
|20190730|上期所  |热轧卷板          |     hc2005     |   卖|投机        |  3489.000|     1|    34890.00|开                |      3.51|        0.00|                 0.00|000002011089|
|20190730|上期所  |石油沥青          |     bu1912     |买   |投机        |  3340.000|    10|   334000.00|开                |     33.60|        0.00|                 0.00|000000522653|
|20190730|上期所  |石油沥青          |     bu1912     |买   |投机        |  3340.000|    51|  1703400.00|开                |    171.36|        0.00|                 0.00|000000523093|
|20190730|上期所  |石油沥青          |     bu1912     |买   |投机        |  3340.000|    46|  1536400.00|开                |    154.56|        0.00|                 0.00|000000523135|
|20190730|上期所  |石油沥青          |     bu1912     |买   |投机        |  3358.000|     1|    33580.00|平昨              |      3.38|      180.00|                 0.00|000000932979|
|20190730|上期所  |石油沥青          |     bu1912     |买   |投机        |  3358.000|     1|    33580.00|平昨              |      3.38|      180.00|                 0.00|000000933273|
|20190730|上期所  |石油沥青          |     bu1912     |买   |投机        |  3358.000|     1|    33580.00|平昨              |      3.38|      180.00|                 0.00|000000933389|
